gene_id,isoform_id,region,tissue,archived_r,archived_p,archived_q,raw_weighted_r,raw_weighted_p,raw_unweighted_r,raw_unweighted_p,strand_sensitive_r,strand_sensitive_p,spearman_rho,linear_detrended_r,linear_detrended_p,first_difference_r,first_difference_p,isoform_absolute_expression_r,isoform_absolute_expression_p,gene_total_expression_r,gene_total_expression_p,loo_min_r,loo_max_r,loo_same_sign_fraction,methylation_replicate_reliability,usage_replicate_reliability,n_complete_stages,median_cpg,min_cpg,median_coverage,strand_cpg_gain,strand_sensitive_cpg,raw_weighted_exact_permutation_p,detrended_exact_permutation_p,difference_exact_permutation_p,raw_global_q,unweighted_global_q,strand_sensitive_global_q,detrended_global_q,difference_global_q,raw_weighted_exact_global_q,detrended_exact_global_q,difference_exact_global_q,archived_sign_reproduced,raw_nominal_reproduced,selection_origin,stage_permutation_p,circular_abs_rank,bootstrap_median_r,bootstrap_low_r,bootstrap_high_r,bootstrap_archived_sign_probability,detrended_same_sign,difference_same_sign,bootstrap_interval_excludes_zero,hostile_support_score
Psap,NM_011179,downstream,ForeBrain,-0.957587448581662,0.0001847162392671,0.0313779378023223,-0.9649315195744868,0.00010500202753979473,-0.9549950215366267,0.00022026528020263757,-0.9240419934411495,0.0010341541084659448,-0.9523809523809523,-0.6234415323410295,0.0986265605134479,-0.40825398529077483,0.3632101131060225,-0.9594582310765329,0.0001615653703935735,-0.95733310321996,0.000188022990534227,-0.9952380319679272,-0.9453046912675416,1.0,0.5988223151601155,0.9470670324062841,8,77.0,76.0,692.5,59.0,18.0,0.0001984126984126984,0.1385168650793651,0.23020833333333332,0.1861255117261344,0.13440395587104934,0.3428636535448618,0.7279280642950565,0.8910483074198734,0.2421957671957672,0.9779538523274478,0.9952985992560824,True,True,archived_only,0.0001984126984126984,1,-0.8894261919702813,-0.9854173106408353,-0.6770494785394652,1.0,True,True,True,10
Myo18a,NM_011586,gene_body,ForeBrain,0.935680486014185,0.0006335471690827,0.0409444844296338,0.9042746581830582,0.0020384862599533015,0.9768724536120528,3.039239504873093e-05,0.9042746581830582,0.0020384862599533015,0.9761904761904762,0.5867586262390468,0.12626205371245322,0.7567470581810346,0.048924261419196674,0.7865511317166795,0.02058616531169433,0.17390974213964963,0.6804343658308445,0.8847330436813172,0.9366073683085719,1.0,0.5033584284645451,0.9265875607439198,8,254.0,252.0,2448.5,0.0,254.0,0.0003224206349206349,0.16758432539682538,0.060069444444444446,0.3433914060833611,0.11129695066845267,0.35635484205781515,0.749972902638593,0.734688552044914,0.27247023809523807,0.9779538523274478,0.9952985992560824,True,True,archived_only,0.0003224206349206349,1,0.7726577206604985,0.5484934540346261,0.9603978295992825,1.0,True,True,True,10
Gnao1,NM_001113384,upstream,ForeBrain,0.25143089506649,0.548058799155074,0.767912106938358,0.9857601854485475,7.141726437816928e-06,0.924572359020943,0.001013056349986853,0.10522816430529379,0.8041488385759479,0.9523809523809523,0.8999183100938487,0.002321783665712614,0.8548890133822408,0.014225916265437672,0.007644536005612324,0.9856670534028245,-0.9111596287745919,0.0016382316929343555,0.9631780607811495,0.9967540671760683,1.0,0.7900560433424277,0.998962008516983,8,84.5,70.0,681.5,37.0,47.5,0.00034722222222222224,0.009250992063492064,0.008060515873015874,0.03822980998784311,0.16728590738333968,0.9725375104723986,0.3965082678008589,0.6564244219623383,0.27247023809523807,0.9348048062310029,0.9952985992560824,True,True,reconstructed_only,0.00034722222222222224,1,0.938194176541544,0.8656611377482505,0.9864414412014252,1.0,True,True,True,10
Gnao1,NM_010308,upstream,ForeBrain,-0.25143089506649,0.548058799155074,0.767912106938358,-0.9857601854485475,7.141726437816928e-06,-0.924572359020943,0.001013056349986853,-0.10522816430529376,0.804148838575948,-0.9523809523809523,-0.8999183100938493,0.002321783665712578,-0.8548890133822413,0.014225916265437528,-0.9081034591385373,0.0018088970061263482,-0.9111596287745919,0.0016382316929343555,-0.9967540671760681,-0.9631780607811499,1.0,0.7900560433424277,0.9989620085169832,8,84.5,70.0,681.5,37.0,47.5,0.00034722222222222224,0.009250992063492064,0.008060515873015874,0.03822980998784311,0.16728590738333968,0.9725375104723986,0.3965082678008589,0.6564244219623383,0.27247023809523807,0.9348048062310029,0.9952985992560824,True,True,reconstructed_only,0.00034722222222222224,1,-0.9341704656441481,-0.9856621097760575,-0.8654731330071044,1.0,True,True,True,10
Vti1a,NM_001293685,gene_body,ForeBrain,-0.943427827739148,0.0004336478244272,0.0386712448368348,-0.9324746172076115,0.0007312788703397484,-0.9419142078368467,0.0004688514472105351,-0.9492433639904638,0.0003145846608371121,-0.8095238095238095,-0.7235936813454561,0.04245451201431492,-0.3980034682862047,0.3765470601438981,-0.9332884235273958,0.0007055972981772929,-0.8650093306321709,0.005543861259283808,-0.9587943758384587,-0.8686021581881374,1.0,0.8329283144105378,0.8817769913855242,8,179.0,175.0,2121.0,42.0,137.0,0.001636904761904762,0.06599702380952381,0.2962549603174603,0.3433914060833611,0.16096256247046684,0.3428636535448618,0.6277544367403568,0.8944927134977912,0.3458276098901099,0.9685819095079892,0.9952985992560824,True,True,archived_only,0.001636904761904762,1,-0.8796294996599356,-0.9659914822468987,-0.7510233353798751,1.0,True,True,True,10
Ss18,NM_001161369,gene_body,ForeBrain,0.941414877703349,0.0004808631615472,0.0396897055646312,0.901539274101539,0.0022135732107330464,0.8719326695955714,0.004759700407389599,0.901539274101539,0.0022135732107330464,0.8809523809523809,0.1385362662771073,0.743548901313021,0.032292762002690226,0.9452066848264862,0.8777993691118411,0.004154157703274734,0.8858607955588491,0.003406479680714917,0.8801995140967811,0.9399848407665662,1.0,0.9055167212208614,0.91279007961257,8,83.0,82.0,953.5,0.0,83.0,0.0038194444444444443,0.7596230158730158,0.9493799603174603,0.3433914060833611,0.2264143206025668,0.35635484205781515,0.9691100047247418,0.9953629791954827,0.3839353354978355,0.9993058090540707,0.9997015587246041,True,True,archived_only,0.0038194444444444443,1,0.7949021548301136,0.6434600425830347,0.9191751102352874,1.0,True,True,True,10
Kif1b,NM_008441,gene_body,ForeBrain,0.977003764782802,2.9880618909428e-05,0.0187017672181655,0.8480163253656384,0.00780666605034524,0.8743156447085838,0.0045073400373814585,0.8480163253656384,0.00780666605034524,0.8809523809523809,0.1691179579521796,0.6888981050462013,0.2124134700983037,0.6474754754965226,0.8629105243631469,0.005796899769669941,-0.011120018552344598,0.9791516839553551,0.780653165682478,0.9585636562875874,1.0,0.7427772408481842,0.9889632907814659,8,322.0,310.0,4686.5,0.0,322.0,0.007762896825396826,0.6583085317460318,0.5137648809523809,0.3869030957762777,0.22296477796723213,0.3731302915330532,0.9547416733880093,0.9642277171111375,0.44220579625292744,0.9905884357214163,0.9986015357060414,True,True,archived_only,0.007762896825396826,1,0.7796077141888597,0.5764933905945505,0.9171054256002865,1.0,True,True,True,10
Arvcf,NM_033474,gene_body,ForeBrain,-0.981803809547211,1.48571532866697e-05,0.0187017672181655,-0.8848928893854517,0.003491237069226456,-0.9301966814172764,0.0008063987900444553,-0.8996038557601369,0.002343164755846164,-0.8982196964349443,-0.1694140951534428,0.6883742093396439,-0.4567089921408984,0.3029305096621416,-0.8388979029932163,0.009230750316430305,0.38116745209211744,0.35151790364663904,-0.9261875147221972,-0.8403111879537424,1.0,0.6211216230212127,0.9816754909662408,8,215.0,210.0,2037.5,18.0,197.0,0.008680555555555556,0.786780753968254,0.3947172619047619,0.3635882027487626,0.16728590738333968,0.35635484205781515,0.9546174026515182,0.8727132363876282,0.44220579625292744,0.9995570426160224,0.9974398198634841,True,True,archived_only,0.008680555555555556,1,-0.783529450552618,-0.9343728176367798,-0.598202713452343,1.0,True,True,True,10
Steap3,NM_001085409,gene_body,ForeBrain,0.960805979673442,0.0001461318337277,0.0297176391468432,0.7358780739375513,0.037420419350811335,0.7124272105899971,0.04736874639878068,0.7358780739375513,0.037420419350811335,0.5238095238095238,0.6792037246052371,0.06394986292993156,0.567218333938979,0.1841734493437694,0.7107133652883701,0.048151892541719796,-0.05233823972769955,0.9020448653447124,0.6565466684647212,0.8579086831497895,1.0,0.523302374871023,0.6316160974283895,8,86.0,86.0,805.0,0.0,86.0,0.025124007936507937,0.09379960317460317,0.08162202380952381,0.5311518724365947,0.45528700606912054,0.5374007179946723,0.6841217331148296,0.8285918970476344,0.4994481096168485,0.9779538523274478,0.9952985992560824,True,True,archived_only,0.025124007936507937,1,0.5846172208682034,0.2911782054320331,0.835482246047387,1.0,True,True,True,10
Steap3,NM_133186,gene_body,ForeBrain,-0.960805979673441,0.0001461318337277,0.0297176391468432,-0.7358780739375512,0.03742041935081139,-0.712427210589997,0.0473687463987807,-0.7358780739375512,0.03742041935081139,-0.5238095238095238,-0.6792037246052376,0.06394986292993134,-0.5672183339389795,0.18417344934376892,-0.404034136943897,0.3208433848670843,-0.05233823972769955,0.9020448653447124,-0.8579086831497899,-0.6565466684647214,1.0,0.523302374871023,0.6316160974283894,8,86.0,86.0,805.0,0.0,86.0,0.025124007936507937,0.09379960317460317,0.08162202380952381,0.5311518724365947,0.45528700606912054,0.5374007179946723,0.6841217331148296,0.8285918970476344,0.4994481096168485,0.9779538523274478,0.9952985992560824,True,True,archived_only,0.025124007936507937,1,-0.588388487683288,-0.8396927681855303,-0.30258627156259715,1.0,True,True,True,10
Ankrd6,NM_001012451,gene_body,ForeBrain,-0.960498998079587,0.0001495575502264,0.0297176391468432,-0.7551279823549593,0.030296367224977295,-0.9646771896610288,0.00010728245867077373,-0.7548198670317398,0.030403194103744657,-0.8571428571428571,-0.41453107034806613,0.30720340614657987,-0.6774460338631253,0.09450902574351669,-0.5915682915210675,0.12241798132517656,0.26419077158255594,0.5272092436365263,-0.915592764981236,-0.6557567636296148,1.0,0.8436273727287763,0.8122190988303648,8,124.0,120.0,1677.5,2.0,122.0,0.026711309523809523,0.35044642857142855,0.14188988095238095,0.5098304005777347,0.13440395587104934,0.5155509473648389,0.8613188713412498,0.7649221476202062,0.5064851241701499,0.9889329625292741,0.9952985992560824,True,True,archived_only,0.026711309523809523,1,-0.7222601846177166,-0.9010675339989965,-0.5122596295629774,1.0,True,True,True,10
Ankrd6,NM_080471,gene_body,ForeBrain,0.940351201767997,0.0005071200842471,0.0400102831174441,0.7486198088973506,0.032602170651649484,0.9380343973478168,0.0005675272751426524,0.7477544779181238,0.03291659441209942,0.7380952380952381,0.37350207972340616,0.36208898638753184,0.5820863084827995,0.17033827301962548,0.7448599986439163,0.03398179463810408,0.26419077158255594,0.5272092436365263,0.6449214187506258,0.9411255106822616,1.0,0.8436273727287763,0.5527146819594413,8,124.0,120.0,1677.5,2.0,122.0,0.028546626984126983,0.4199156746031746,0.2343501984126984,0.516056894442164,0.163440732506827,0.5231741081504091,0.8776561484514,0.8190006933493393,0.519678334910123,0.9891895816226394,0.9952985992560824,True,True,archived_only,0.028546626984126983,1,0.7004911685581205,0.3398861845512439,0.9090926831058467,1.0,True,True,True,10
