"isoform_id","gene_id","gene_name","estimates","se","df","t","pval","regular_FDR","empirical_pval","empirical_FDR","inference_valid"
"NM_001159942","Plekhg1","Plekhg1",1.53734984864824,3.44733922600098,25.4341426705716,0.445952587738693,0.65940481572361,0.8441773908916,0.749772312998848,0.957109860446672,TRUE
"NM_001033253","Plekhg1","Plekhg1",-1.53734984864824,3.44733922600097,25.4341426705716,-0.445952587738695,0.659404815723609,0.8441773908916,0.746155392062643,0.957109860446672,TRUE
"NM_001170786","Mthfd1l","Mthfd1l",1.26935184910402,0.711239246140218,25.4341426705716,1.78470445211311,0.0862433528923742,0.275514011345798,0.211894874932744,0.674737541123347,TRUE
"NM_172308","Mthfd1l","Mthfd1l",-1.20466405392711,0.704769898742408,25.4341426705716,-1.70930122877938,0.0995710526244684,0.302860929106714,0.228930992997151,0.697705224397344,TRUE
"NM_001170785","Mthfd1l","Mthfd1l",-1.18733681724576,1.09789052540541,25.4341426705716,-1.08147104813325,0.289635422401766,0.568852636071588,0.438686211460077,0.863220979063607,TRUE
"NM_001302532","Esr1","Esr1",-1.04937690073322,2.33941655872822,19.4341426705716,-0.448563509058728,0.658707869106946,0.8441773908916,0.745623973914065,0.957109860446672,TRUE
"NM_001302531","Esr1","Esr1",1.04937690073323,2.33941655872822,19.4341426705716,0.448563509058729,0.658707869106945,0.8441773908916,0.749240078249005,0.957109860446672,TRUE
"NM_022027","Syne1","Syne1",2.17457218711572,0.700981153737192,25.4341426705716,3.10218352593685,0.00465887887647748,0.0321895662574088,0.0393341256605724,0.271618976301882,TRUE
"NM_001079686","Syne1","Syne1",-1.82804319663075,0.218756746569296,25.4341426705716,-8.35651117188141,9.19042210921406e-09,4.15420545156416e-07,2.77837277850733e-05,0.00125586520464397,TRUE
"NM_153399","Syne1","Syne1",-2.94714168909219,0.231082897451602,25.4341426705716,-12.7536123252455,1.4914991341445e-12,2.4217235941241e-10,2.45959708980916e-07,4.04685707843267e-05,TRUE
"NM_019958","Rgs17","Rgs17",0.793735891889816,1.51041073880226,25.4341426705716,0.52550996328273,0.603780561721546,0.810911202834553,0.706932192360388,0.94797025954062,TRUE
"NM_001161822","Rgs17","Rgs17",-0.793735891889818,1.51041073880226,25.4341426705716,-0.525509963282731,0.603780561721545,0.810911202834553,0.703386732160181,0.94705862246117,TRUE
"NM_001304937","Oprm1","Oprm1",4.02429886240887,2.72506185385982,20.4341426705716,1.47677340120144,0.154982634319547,0.400856362922492,0.300921638695856,0.776044518601226,TRUE
"NM_001304938","Oprm1","Oprm1",6.27463487203155,4.27443579102443,20.4341426705716,1.46794458468816,0.157344368339813,0.404506146940269,0.303686280995013,0.778586092004602,TRUE
"NM_001304948","Oprm1","Oprm1",0.973724260981719,2.27738078291387,20.4341426705716,0.42756322011985,0.673441140204356,0.850057258630361,0.760469078532798,0.958049417125898,TRUE
"NM_001302793","Oprm1","Oprm1",-3.05818760836783,3.36344240931987,20.4341426705716,-0.909243339470836,0.373821830626772,0.649347042502023,0.515191805583857,0.897112656122143,TRUE
"NM_001170800","Ipcef1","Ipcef1",-0.351734947053679,0.541296718421984,25.4341426705716,-0.649800627055481,0.521647116583822,0.761609727714667,0.638654936897556,0.934199649226054,TRUE
"NM_001033391","Ipcef1","Ipcef1",0.804535147104648,0.812917212800283,25.4341426705716,0.989688906122727,0.331648702795721,0.611495013714581,0.480566126176119,0.88311616937295,TRUE
"NM_001170801","Ipcef1","Ipcef1",4.27165544616951,1.41068427998872,25.4341426705716,3.02807333062765,0.00557844201422735,0.0370120356521388,0.0435612061629097,0.288547945549886,TRUE
"NM_001170802","Ipcef1","Ipcef1",-2.50855056165146,1.39994984289608,25.4341426705716,-1.7918860267608,0.0850574454865947,0.272980202159838,0.208430802452113,0.670324759515005,TRUE
"NM_016976","Grm1","Grm1",2.03829018981126,2.60181564127615,21.4341426705716,0.783410691163157,0.441957057924081,0.707911486861781,0.57671525865401,0.922069326960674,TRUE
"NM_001114333","Grm1","Grm1",-2.03829018981126,2.60181564127615,21.4341426705716,-0.783410691163157,0.441957057924081,0.707911486861781,0.573460474428468,0.9209706446412,TRUE
"NM_001284354","Shprh","Shprh",-1.04328878935378,1.17143933333152,25.4341426705716,-0.890604199183511,0.381489084437717,0.657334819010598,0.521889392387174,0.900659430466495,TRUE
"NM_172937","Shprh","Shprh",1.17183880860831,0.487325493414574,25.4341426705716,2.40463268276303,0.0237806446486339,0.113697464147285,0.0998077007852901,0.473935849179701,TRUE
"NM_001077707","Shprh","Shprh",-0.15905890125383,0.314261670702883,25.4341426705716,-0.506135224502805,0.61712089106035,0.820522766478258,0.713713219999385,0.951040252622544,TRUE
"NM_027968","Fbxo30","Fbxo30",2.05456184374729,1.29818449134285,25.4341426705716,1.58264241904634,0.125859957923184,0.349991231717464,0.265471912485229,0.736536018508598,TRUE
"NM_001168297","Fbxo30","Fbxo30",-2.05456184374728,1.29818449134284,25.4341426705716,-1.58264241904634,0.125859957923184,0.349991231717464,0.263428561343575,0.734291494687082,TRUE
"NR_038027","B230208H11Rik","B230208H11Rik",-1.24431348440754,1.63490612218178,25.4341426705716,-0.761091702774347,0.453601448820323,0.715585070580826,0.583164163348976,0.922691987482828,TRUE
"NR_038028","B230208H11Rik","B230208H11Rik",1.24431348440754,1.63490612218178,25.4341426705716,0.761091702774348,0.453601448820323,0.715585070580826,0.586444617485701,0.923056738665819,TRUE
"NM_029075","Stx11","Stx11",4.80197362646465,1.82866382839977,25.4341426705716,2.62594663485348,0.0144266342782366,0.077740029254777,0.0748712442200628,0.402400328255912,TRUE
"NM_001163591","Stx11","Stx11",2.73708059974475,1.916496790089,25.4341426705716,1.42816863242314,0.165408659613842,0.416026730922923,0.313017233206714,0.785636991080046,TRUE
"NM_001163590","Stx11","Stx11",-5.2537347054186,1.3735093841744,25.4341426705716,-3.82504463817446,0.000758039446859602,0.00712973077305449,0.0139846831916667,0.131633097318968,TRUE
"NM_001033257","Phactr2","Phactr2",-0.127195259863268,0.372673056790726,25.4341426705716,-0.341305220609748,0.735677467198348,0.887588966095778,0.803741427800921,0.971452064885847,TRUE
"NM_001195096","Phactr2","Phactr2",3.64215959701674,1.9059198218952,25.4341426705716,1.91097209608485,0.067341492645931,0.234148779726906,0.183069449505446,0.634928894574817,TRUE
"NM_001195066","Phactr2","Phactr2",-1.14759665026666,0.366568531493203,25.4341426705716,-3.13064693685508,0.00434587448933778,0.0304771588042311,0.0373773185537031,0.262845120122876,TRUE
"NM_001195065","Phactr2","Phactr2",-0.895593358805647,0.407685637317684,25.4341426705716,-2.19677436933538,0.037358187052215,0.155690654584374,0.128465025886565,0.537375735403463,TRUE
"NM_001164195","Pex3","Pex3",0.376932350442199,0.360247927661358,25.4341426705716,1.04631372313271,0.30525856220696,0.587013474250031,0.456228960949932,0.874708660725818,TRUE
"NM_019961","Pex3","Pex3",-0.376932350442198,0.360247927661358,25.4341426705716,-1.04631372313271,0.30525856220696,0.587013474250031,0.453348637680614,0.873546756144597,TRUE
"NM_001111065","Reps1","Reps1",5.60739336864365,0.821872157604224,25.4341426705716,6.82270754248365,3.43215094710019e-07,9.66957595598559e-06,0.000203665924194976,0.00571190341946818,TRUE
"NM_009048","Reps1","Reps1",-5.60739336864365,0.821872157604224,25.4341426705716,-6.82270754248364,3.43215094710023e-07,9.66957595598559e-06,0.000199855766132179,0.00564539208369508,TRUE
"NM_173390","Nhsl1","Nhsl1",-1.01930488678618,0.206561489230028,25.4341426705716,-4.93463176793366,4.22349063763648e-05,0.0006124309573259,0.002809456817591,0.0408347433793557,TRUE
"NM_001163592","Nhsl1","Nhsl1",1.01930488678618,0.206561489230028,25.4341426705716,4.93463176793367,4.22349063763645e-05,0.0006124309573259,0.00285364735744362,0.0412825420760309,TRUE
